"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 09 04:15:33 UTC 2023","Sat Dec 09 04:15:37 UTC 2023","3573","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Sat Dec 09 02:42:20 UTC 2023","Sat Dec 09 02:42:23 UTC 2023","3621","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sat Dec 09 03:01:16 UTC 2023","Sat Dec 09 03:01:28 UTC 2023","12702","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Sat Dec 09 03:48:27 UTC 2023","Sat Dec 09 03:48:35 UTC 2023","7206","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Sat Dec 09 02:34:17 UTC 2023","Sat Dec 09 02:34:17 UTC 2023","155","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Sat Dec 09 02:34:17 UTC 2023","Sat Dec 09 02:34:26 UTC 2023","8553","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Sat Dec 09 04:36:36 UTC 2023","Sat Dec 09 04:36:39 UTC 2023","2910","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Sat Dec 09 02:36:07 UTC 2023","Sat Dec 09 02:36:23 UTC 2023","16718","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sat Dec 09 04:36:24 UTC 2023","Sat Dec 09 04:36:34 UTC 2023","9840","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"skipped","Sat Dec 09 02:25:21 UTC 2023","Sat Dec 09 02:25:21 UTC 2023","3","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Sat Dec 09 02:40:14 UTC 2023","Sat Dec 09 02:40:30 UTC 2023","16033","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sat Dec 09 02:36:32 UTC 2023","Sat Dec 09 02:36:36 UTC 2023","4163","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sat Dec 09 03:47:01 UTC 2023","Sat Dec 09 03:47:02 UTC 2023","853","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Sat Dec 09 02:38:11 UTC 2023","Sat Dec 09 02:38:14 UTC 2023","3515","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sat Dec 09 02:46:59 UTC 2023","Sat Dec 09 02:47:09 UTC 2023","10308","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Sat Dec 09 03:33:32 UTC 2023","Sat Dec 09 03:33:44 UTC 2023","11626","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Sat Dec 09 02:28:17 UTC 2023","Sat Dec 09 02:28:37 UTC 2023","20333","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Sat Dec 09 03:46:58 UTC 2023","Sat Dec 09 03:47:00 UTC 2023","2761","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Sat Dec 09 02:24:59 UTC 2023","Sat Dec 09 02:24:59 UTC 2023","27","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Sat Dec 09 02:47:49 UTC 2023","Sat Dec 09 02:47:49 UTC 2023","378","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Sat Dec 09 03:04:40 UTC 2023","Sat Dec 09 03:04:57 UTC 2023","17210","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Sat Dec 09 02:47:24 UTC 2023","Sat Dec 09 02:47:26 UTC 2023","1713","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sat Dec 09 03:01:29 UTC 2023","Sat Dec 09 03:01:40 UTC 2023","10948","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
